column,missing_share,dataset
CitationsRD,0.22764227642276422,openap_factors
CustomerMomentum,0.22764227642276422,openap_factors
ChNAnalyst,0.24390243902439024,openap_factors
IO_ShortInterest,0.2669376693766938,openap_factors
DelBreadth,0.2764227642276423,openap_factors
RDcap,0.2764227642276423,openap_factors
AgeIPO,0.2845528455284553,openap_factors
FR,0.2926829268292683,openap_factors
EarningsForecastDisparity,0.3008130081300813,openap_factors
fgr5yrLag,0.3089430894308943,openap_factors
PredictedFE,0.3252032520325203,openap_factors
ExclExp,0.33875338753387535,openap_factors
EarningsStreak,0.34688346883468835,openap_factors
betaVIX,0.36720867208672087,openap_factors
iomom_cust,0.36720867208672087,openap_factors
iomom_supp,0.36720867208672087,openap_factors
PatentsRD,0.3943089430894309,openap_factors
PctTotAcc,0.4065040650406504,openap_factors
ConsRecomm,0.4932249322493225,openap_factors
ChangeInRecommendation,0.494579945799458,openap_factors
DownRecomm,0.494579945799458,openap_factors
Recomm_ShortInterest,0.494579945799458,openap_factors
UpRecomm,0.494579945799458,openap_factors
OptionVolume1,0.551490514905149,openap_factors
OptionVolume2,0.5528455284552846,openap_factors
CPVolSpread,0.5609756097560976,openap_factors
RIVolSpread,0.5609756097560976,openap_factors
SmileSlope,0.5609756097560976,openap_factors
skew1,0.5609756097560976,openap_factors
dCPVolSpread,0.5623306233062331,openap_factors
dVolCall,0.5623306233062331,openap_factors
dVolPut,0.5623306233062331,openap_factors
DelDRC,0.6016260162601627,openap_factors
ProbInformedTrading,0.6747967479674797,openap_factors
Activism1,0.7330623306233063,openap_factors
Activism2,0.7330623306233063,openap_factors
Governance,0.7330623306233063,openap_factors
AM_p01,0.0,openap_sorted_portfolios
AM_p02,0.0,openap_sorted_portfolios
AM_p03,0.0,openap_sorted_portfolios
AM_p04,0.0,openap_sorted_portfolios
AM_p05,0.0,openap_sorted_portfolios
Accruals_p01,0.0,openap_sorted_portfolios
Accruals_p02,0.0,openap_sorted_portfolios
Accruals_p03,0.0,openap_sorted_portfolios
Accruals_p04,0.0,openap_sorted_portfolios
Accruals_p05,0.0,openap_sorted_portfolios
Accruals_p06,0.0,openap_sorted_portfolios
Accruals_p07,0.0,openap_sorted_portfolios
Accruals_p08,0.0,openap_sorted_portfolios
Accruals_p09,0.0,openap_sorted_portfolios
Accruals_p10,0.0,openap_sorted_portfolios
AssetGrowth_p01,0.0,openap_sorted_portfolios
AssetGrowth_p02,0.0,openap_sorted_portfolios
AssetGrowth_p03,0.0,openap_sorted_portfolios
AssetGrowth_p04,0.0,openap_sorted_portfolios
AssetGrowth_p05,0.0,openap_sorted_portfolios
AssetGrowth_p06,0.0,openap_sorted_portfolios
AssetGrowth_p07,0.0,openap_sorted_portfolios
