date,Mkt-RF,SMB,HML,RF
2022-11-30,4.65,-3.57,1.48,0.29
2022-12-31,-6.38,-0.76,1.34,0.33
2023-01-31,6.61,5.01,-3.94,0.35
2023-02-28,-2.57,1.05,-0.8,0.34
2023-03-31,2.48,-5.48,-9.05,0.36
2023-04-30,0.62,-3.37,-0.12,0.35
2023-05-31,0.34,1.6,-7.79,0.36
2023-06-30,6.46,1.49,-0.13,0.4
2023-07-31,3.21,2.14,4.02,0.45
2023-08-31,-2.36,-3.04,-1.29,0.45
2023-09-30,-5.23,-2.47,1.47,0.43
2023-10-31,-3.15,-3.86,0.21,0.47
2023-11-30,8.88,-0.14,1.78,0.44
2023-12-31,4.85,6.28,4.94,0.43
2024-01-31,0.73,-5.05,-2.36,0.47
2024-02-29,5.07,-0.22,-3.47,0.42
2024-03-31,2.84,-2.48,4.14,0.43
2024-04-30,-4.65,-2.37,-0.5,0.47
2024-05-31,4.33,0.56,-1.35,0.44
2024-06-30,2.8,-3.02,-3.31,0.41
2024-07-31,1.22,6.79,5.6,0.45
2024-08-31,1.6,-3.5,-1.1,0.48
2024-09-30,1.72,-0.12,-2.77,0.4
2024-10-31,-1.0,-0.96,0.89,0.39
2024-11-30,6.49,4.54,0.29,0.4
2024-12-31,-3.17,-2.7,-2.98,0.37
