date,Mkt-RF,SMB,HML,RMW,CMA,RF
1971-06-30,-0.09,-1.51,-1.97,1.58,-1.67,0.37
1971-07-31,-4.49,-1.43,-0.02,0.58,1.39,0.4
1971-08-31,3.79,-0.23,2.64,-0.43,2.59,0.47
1971-09-30,-0.86,0.26,-2.9,2.54,-1.58,0.37
1971-10-31,-4.42,-1.59,-0.51,1.56,-1.39,0.37
1971-11-30,-0.46,-2.86,-1.67,2.41,-0.44,0.37
1971-12-31,8.71,3.24,-0.38,-0.43,-1.68,0.37
1972-01-31,2.47,6.09,2.12,-1.69,0.54,0.29
1972-02-29,2.87,0.87,-2.83,1.69,-0.5,0.25
1972-03-31,0.62,-0.47,-1.61,1.58,-0.2,0.27
1972-04-30,0.29,0.27,0.03,-0.41,-1.06,0.29
1972-05-31,1.29,-3.12,-2.72,2.4,-1.97,0.3
1972-06-30,-2.46,-0.43,-2.46,1.78,-0.35,0.29
1972-07-31,-0.8,-2.79,0.6,1.2,-0.71,0.31
1972-08-31,3.27,-3.46,4.56,-2.04,2.9,0.29
1972-09-30,-1.14,-2.24,0.49,1.65,-1.97,0.34
1972-10-31,0.52,-2.55,1.22,-0.11,0.03,0.4
1972-11-30,4.59,-0.59,4.88,-1.98,3.34,0.37
1972-12-31,0.62,-1.89,-2.18,2.58,-2.14,0.37
1973-01-31,-3.28,-2.82,2.7,0.4,0.9,0.44
1973-02-28,-4.85,-3.94,1.64,-0.29,0.05,0.42
1973-03-31,-1.3,-2.29,2.57,-0.96,0.5,0.46
1973-04-30,-5.68,-2.92,5.39,-1.55,2.52,0.52
1973-05-31,-2.97,-6.12,0.38,1.97,-1.7,0.51
1973-06-30,-1.57,-2.48,1.14,-0.2,0.09,0.51
1973-07-31,5.04,7.19,-5.26,-0.09,-3.23,0.64
1973-08-31,-3.82,-1.78,1.03,-1.32,1.24,0.7
1973-09-30,4.74,3.58,2.22,-2.22,1.73,0.68
1973-10-31,-0.83,-0.27,1.66,-1.99,2.73,0.65
1973-11-30,-12.79,-7.27,4.09,-2.77,1.66,0.56
1973-12-31,0.59,-4.72,4.01,-2.89,2.44,0.64
